07-06-2018 18:00:59.577 [pool-2-thread-1] DEBUG com.auto.env.config.PropertiesReader.getDir - getDir  Method Start
07-06-2018 18:00:59.598 [pool-2-thread-1] DEBUG com.auto.env.config.PropertiesReader.getDir - Directory for load is C:/Output/Load
07-06-2018 18:00:59.598 [pool-2-thread-1] DEBUG com.auto.env.config.PropertiesReader.getDir - getDir  Method End
07-06-2018 18:00:59.958 [pool-2-thread-1] DEBUG com.auto.env.dao.DBUtiliDAO.fetchAllPackagesFromDB - fetchAllPackagesFromDB  Method End
07-06-2018 18:00:59.958 [pool-2-thread-1] DEBUG com.auto.env.service.ApplicationScheduler.fetchAllPackagesFromDB - Fetch Details for latest Environment
07-06-2018 18:00:59.964 [pool-2-thread-1] DEBUG com.auto.env.dao.DBUtiliDAO.fetchAllPackagesFromDB - fetchAllPackagesFromDB for environment latest  Method Start
07-06-2018 18:01:09.973 [pool-2-thread-1] INFO  com.auto.env.dao.DBUtiliDAO.fetchAllPackagesFromDB - Query Result ->> [
[PBL_DATE=2018-06-07 00:51:25.0, GT_CODE=Z793E, ACTION=REJECTED, CHANNEL=GROUPS, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:25.0, GT_CODE=Z866D, ACTION=REJECTED, CHANNEL=GROUPS, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:24.0, GT_CODE=Z757S, ACTION=INFO, CHANNEL=DRC RO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:24.0, GT_CODE=Z757S, ACTION=UPDATE, CHANNEL=DRC RO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:23.0, GT_CODE=Z568H, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:22.0, GT_CODE=Z424W, ACTION=UPDATE, CHANNEL=HI-MIL RO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:22.0, GT_CODE=Z477W, ACTION=REJECTED, CHANNEL=DVC DISCOL, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:21.0, GT_CODE=Z339J, ACTION=UPDATE, CHANNEL=HI-CAST RO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:20.0, GT_CODE=Y694B, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:20.0, GT_CODE=Y846T, ACTION=UPDATE, CHANNEL=CAST, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:20.0, GT_CODE=Z337L, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:19.0, GT_CODE=Y637Z, ACTION=UPDATE, CHANNEL=OGB, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:18.0, GT_CODE=Y494N, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:18.0, GT_CODE=Y527U, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:16.0, GT_CODE=X855S, ACTION=UPDATE, CHANNEL=DRC RO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:16.0, GT_CODE=X845D, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:16.0, GT_CODE=Y264D, ACTION=UPDATE, CHANNEL=OL CAST, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:14.0, GT_CODE=X747W, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:14.0, GT_CODE=X764K, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:13.0, GT_CODE=X549X, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:13.0, GT_CODE=X636E, ACTION=REJECTED, CHANNEL=DVC EXIW, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:12.0, GT_CODE=X457G, ACTION=UPDATE, CHANNEL=OL FLRES, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:11.0, GT_CODE=X354M, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:11.0, GT_CODE=X427I, ACTION=UPDATE, CHANNEL=OGB, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:09.0, GT_CODE=W935O, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:09.0, GT_CODE=WS4, ACTION=REJECTED, CHANNEL=GROUPS, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:08.0, GT_CODE=W825M, ACTION=REJECTED, CHANNEL=DVC EXIW, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:07.0, GT_CODE=W648J, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:07.0, GT_CODE=W668C, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:06.0, GT_CODE=W633G, ACTION=UPDATE, CHANNEL=HI-RM ONLY, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:06.0, GT_CODE=W447C, ACTION=REJECTED, CHANNEL=DVC MBRSVC, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:04.0, GT_CODE=W343Q, ACTION=UPDATE, CHANNEL=HI-CAST RO, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:04.0, GT_CODE=W353P, ACTION=REJECTED, CHANNEL=GROUPS, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:03.0, GT_CODE=V688E, ACTION=REJECTED, CHANNEL=RGSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:03.0, GT_CODE=VO3, ACTION=REJECTED, CHANNEL=GROUPS, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:03.0, GT_CODE=V923K, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:01.0, GT_CODE=V634L, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:00.0, GT_CODE=V453Q, ACTION=UPDATE, CHANNEL=OGB, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:00.0, GT_CODE=U883H, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:51:00.0, GT_CODE=V589W, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:58.0, GT_CODE=U766M, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:57.0, GT_CODE=U677Q, ACTION=REJECTED, CHANNEL=DVC EXIW, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:57.0, GT_CODE=U587P, ACTION=REJECTED, CHANNEL=DVC DISCOL, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:57.0, GT_CODE=U555Q, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:55.0, GT_CODE=U475G, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:55.0, GT_CODE=U387R, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:54.0, GT_CODE=U343J, ACTION=REJECTED, CHANNEL=GROUPS, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:54.0, GT_CODE=T856X, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:53.0, GT_CODE=TNP, ACTION=REJECTED, CHANNEL=DCL, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:53.0, GT_CODE=T779Q, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:51.0, GT_CODE=T724H, ACTION=REJECTED, CHANNEL=RSR, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:51.0, GT_CODE=T577P, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:50.0, GT_CODE=T348W, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:50.0, GT_CODE=T438O, ACTION=REJECTED, CHANNEL=DVC PTS, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:49.0, GT_CODE=S844D, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:49.0, GT_CODE=S896H, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:47.0, GT_CODE=S755Z, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:47.0, GT_CODE=S684X, ACTION=REJECTED, CHANNEL=WHOLESALE, PBL_RETMSG=], 
[PBL_DATE=2018-06-07 00:50:46.0, GT_CODE=S565K, ACTION=UPDATE, CHANNEL=OL OGB, PBL_RETMSG=], 
